期別,開獎日,銷售金額,獎金總額,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,頭獎注數,頭獎獎金,頭獎累至次期獎金,貳獎注數,參獎注數,肆獎注數,伍獎注數,陸獎注數,柒獎注數,普獎注數,貳獎獎金,參獎獎金,肆獎獎金,伍獎獎金,陸獎獎金,柒獎獎金,普獎獎金,貳獎累至次期獎金,參獎累至次期獎金,肆獎累至次期獎金
103000038,103/04/29,"99,631,300","78,198,092",2,46,9,44,30,27,22,0,0,"47,021,617",4,36,83,"1,538","2,301",0,"29,427","916,321","101,813","24,533","5,031","1,000",0,400,0,0,0
103000037,103/04/25,"100,622,800","55,342,540",46,24,34,4,38,35,30,0,0,"23,400,877",1,33,80,"1,696","2,151",0,"32,113","3,631,170","110,035","25,216","4,519","1,000",0,400,0,0,0
103000036,103/04/22,"100,250,000","140,267,972",18,37,20,11,12,15,42,1,"100,000,000",0,1,36,89,"2,064","2,263",0,"36,232","10,846,211","95,954","21,562","3,533","1,000",0,400,0,0,0
103000035,103/04/18,"103,283,950","60,388,963",8,48,15,40,9,44,24,0,0,"24,547,323",0,29,75,"1,636","2,286",0,"30,493",0,"131,347","28,215","4,915","1,000",0,400,"7,391,858",0,0
103000034,103/04/15,"103,966,900","134,092,694",26,44,24,8,35,5,41,2,"50,000,000",0,0,42,66,"2,185","2,461",0,"37,280",0,"85,304","30,158","3,461","1,000",0,400,"3,582,791",0,0
103000033,103/04/11,"108,775,850","137,646,174",1,3,17,9,12,4,15,1,"100,000,000",0,3,85,153,"3,069","3,468",0,"45,291","1,147,269","40,491","12,497","2,367","1,000",0,400,0,0,0
103000032,103/04/08,"105,973,250","81,210,878",28,27,17,1,45,14,11,0,0,"46,129,005",3,45,133,"2,121","3,355",0,"37,311","1,200,176","80,011","15,039","3,583","1,000",0,400,0,0,0
103000031,103/04/04,"99,116,150","62,761,237",8,24,35,37,41,47,23,0,0,"22,925,591",3,32,108,"1,769","2,649",0,"30,845","3,934,924","111,169","18,299","4,245","1,000",0,400,0,0,0
103000030,103/04/01,"112,380,550","195,944,047",46,18,29,30,47,22,6,1,"157,172,974",0,0,29,87,"1,684","2,524",0,"31,476",0,"144,915","26,836","5,268","1,000",0,400,"8,247,355",0,0
103000047,103/05/30,"183,799,350","423,450,647",21,9,17,35,24,30,15,1,"362,632,865",0,4,97,230,"4,085","5,157",0,"66,246","1,562,270","64,423","15,094","3,229","1,000",0,400,0,0,0
103000046,103/05/27,"143,587,750","272,577,912",26,19,23,10,39,32,16,0,0,"222,361,005",2,59,145,"2,751","3,776",0,"49,199","4,220,238","84,687","19,144","3,834","1,000",0,400,0,0,0
103000045,103/05/23,"96,964,050","121,297,042",30,11,22,46,17,27,15,0,0,"90,160,762",0,22,71,"1,778","2,440",0,"31,562",0,"156,540","26,947","4,089","1,000",0,400,"3,443,888",0,0
103000044,103/05/20,"92,056,500","97,533,175",34,33,30,13,35,6,38,0,0,"67,966,815",1,34,75,"1,771","2,109",0,"30,509","3,268,662","96,137","24,212","3,896","1,000",0,400,0,0,0
103000043,103/05/16,"98,416,400","88,320,931",45,41,31,42,14,38,29,0,0,"46,902,100",1,20,74,"1,597","2,003",0,"28,918","14,464,219","182,514","27,404","4,825","1,000",0,400,0,0,0
103000042,103/05/13,"98,769,950","61,509,780",32,20,31,44,29,15,23,0,0,"23,377,985",0,30,83,"1,561","2,171",0,"29,614",0,"120,920","24,281","4,906","1,000",0,400,"10,813,926",0,0
103000041,103/05/09,"103,429,200","152,984,028",13,1,27,21,37,11,3,2,"57,837,022",0,0,43,109,"1,985","2,903",0,"35,098",0,"83,603","18,322","3,823","1,000",0,400,"7,186,308",0,0
103000040,103/05/06,"96,670,950","122,531,297",10,46,39,35,40,25,31,0,0,"92,506,607",0,32,69,"1,515","1,961",0,"28,260",0,"112,230","28,915","5,004","1,000",0,400,"3,591,361",0,0
103000039,103/05/02,"100,149,050","102,103,594",1,25,37,23,7,40,12,0,0,"69,362,275",1,32,130,"1,826","3,186",0,"33,444","3,466,653","108,332","14,814","4,007","1,000",0,400,0,0,0
103000055,103/06/27,"99,717,050","121,096,966",35,34,36,27,13,21,24,0,0,"88,371,223",3,45,128,"1,872","2,970",0,"34,347","1,144,067","76,271","14,896","3,870","1,000",0,400,0,0,0
103000054,103/06/24,"95,417,400","96,975,449",14,40,8,1,12,41,15,0,0,"66,252,589",1,34,78,"1,697","2,308",0,"31,650","3,376,041","99,295","24,045","4,199","1,000",0,400,0,0,0
103000053,103/06/20,"98,019,550","90,179,719",14,36,12,16,33,47,48,0,0,"44,495,879",1,32,62,"1,640","1,956",0,"30,550","18,395,371","111,753","32,044","4,603","1,000",0,400,0,0,0
103000052,103/06/17,"95,972,150","64,275,521",3,6,20,48,18,25,12,0,0,"21,449,723",0,30,120,"1,637","3,300",0,"31,256",0,"110,946","15,409","4,292","1,000",0,400,"14,819,244",0,0
103000051,103/06/13,"109,214,700","142,049,147",28,32,37,42,4,21,16,1,"100,267,089",0,0,39,97,"1,805","2,505",0,"32,800",0,"102,560","22,908","4,678","1,000",0,400,"11,490,839",0,0
103000050,103/06/10,"104,901,000","112,693,200",3,32,11,35,33,28,30,0,0,"74,490,100",0,35,103,"2,024","2,985",0,"36,092",0,"103,561","19,550","3,780","1,000",0,400,"7,490,962",0,0
103000049,103/06/06,"106,674,850","84,886,176",41,29,47,49,25,40,48,0,0,"51,131,325",0,26,138,"1,857","2,812",0,"32,250",0,"148,704","15,564","4,395","1,000",0,400,"3,866,325",0,0
103000048,103/06/03,"109,006,350","59,953,492",31,32,16,44,35,33,46,0,0,"26,215,009",2,27,87,"1,785","2,272",0,"31,208","2,033,923","150,660","25,976","4,811","1,000",0,400,0,0,0
103000064,103/07/29,"99,571,750","136,219,378",47,36,32,31,44,34,46,1,"100,000,000",0,1,25,96,"1,476","2,127",0,"27,515","9,347,994","149,873","21,683","5,359","1,000",0,400,0,0,0
103000063,103/07/25,"155,118,450","360,227,761",45,30,21,32,5,35,26,1,"311,008,999",0,0,52,110,"2,754","3,462",0,"49,045",0,"107,714","28,288","4,293","1,000",0,400,"5,601,163",0,0
